Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
11,11,11,11.0,0,,,,0,8,0,,,19.9,,,153,,,112,,3,0,4.1,,3.2,,2021-11-20T15:00:00Z,,,,57,,,5,0,,0,0,,0,12,0,46455,,,,3,3,18.0,1,-558,2599,3157,58,False,,0,2,2,12,2021-22,,,,,,Jordan_Ayew
12,12,12,12.0,0,,,,0,2,0,,,0.6,,,153,,,126,,0,0,0.7,,0.0,,2021-11-27T15:00:00Z,,,,3,,,2,0,,0,0,,0,13,0,45624,,,,2,1,7.0,1,-1179,1716,2895,58,True,,0,2,2,13,2021-22,,,,,,Jordan_Ayew
13,13,13,13.0,0,,,,0,6,1,,,17.7,,,153,,,133,,0,0,4.4,,14.0,,2021-11-30T20:15:00Z,,,,89,,,10,0,,0,0,,0,14,0,45216,,,,0,1,12.0,2,-647,1356,2003,58,False,,0,2,2,14,2021-22,,,,,,Jordan_Ayew
14,14,14,14.0,0,,,,0,2,0,,,10.9,,,153,,,144,,1,0,2.8,,5.0,,2021-12-05T14:00:00Z,,,,83,,,13,0,,0,0,,0,15,0,44557,,,,0,1,12.0,2,-897,1651,2548,58,False,,0,2,4,15,2021-22,,,,,,Jordan_Ayew
15,15,15,15.0,1,,,,0,18,0,,,37.8,,,153,,,156,,1,0,9.2,,28.8,,2021-12-12T16:30:00Z,,,,90,,,8,0,,0,0,,0,16,0,47019,,,,1,3,25.0,5,1738,4006,2268,58,True,,0,2,2,16,2021-22,,,,,,Jordan_Ayew
16,16,16,16.0,0,,,,1,31,0,,,11.7,,,153,,,165,,2,1,8.8,,42.8,,2021-12-15T19:30:00Z,,,,74,,,16,0,,0,0,,0,17,0,59422,,,,2,2,33.0,7,10863,12929,2066,58,True,,0,2,2,17,2021-22,,,,,,Jordan_Ayew
17,17,17,17.0,0,,,,0,-3,0,,,6.7,,,153,,,188,,3,0,3.6,,0.0,,2021-12-26T15:00:00Z,,,,90,,,17,0,,0,0,,0,19,0,89535,,,,0,3,30.0,2,15409,20036,4627,58,False,,0,2,4,19,2021-22,,,,,,Jordan_Ayew
18,18,18,18.0,0,,,,0,9,1,,,28.8,,,153,,,194,,0,0,4.6,,16.8,,2021-12-28T15:00:00Z,,,,90,,,15,0,,0,0,,0,20,0,127669,,,,0,3,0.0,2,28807,32606,3799,58,True,,0,2,2,20,2021-22,,,,,,Jordan_Ayew
19,19,19,19.0,1,,,,0,25,0,,,42.2,,,153,,,204,,3,0,9.8,,18.4,,2022-01-01T17:30:00Z,,,,90,,,19,0,,0,0,,0,21,0,92836,,,,3,2,37.0,5,-11307,7642,18949,58,True,,0,2,3,21,2021-22,,,,,,Jordan_Ayew
20,20,20,20.0,0,,,,0,0,0,,,0.0,,,153,,,212,,0,0,0.0,,0.0,,2022-01-14T20:00:00Z,,,,0,,,4,0,,0,0,,0,22,0,59520,,,,1,1,0.0,0,-30978,4594,35572,58,False,,0,2,2,22,2021-22,,,,,,Jordan_Ayew
