Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
10,10,10,10.0,0,,,,0,13,0,,,6.8,,,118,,,104,,1,0,2.1,,14.4,,2021-11-06T15:00:00Z,,,,90,,,6,0,,0,0,,0,11,0,16559,,,,1,1,0.0,2,-852,590,1442,58,False,,0,2,4,11,2021-22,,,,,,Dwight_McNeil
11,11,11,11.0,0,,,,0,19,0,,,54.8,,,118,,,112,,3,0,8.1,,22.2,,2021-11-20T15:00:00Z,,,,90,,,7,0,,0,0,,0,12,0,17058,,,,3,3,4.0,2,148,1320,1172,58,True,,0,2,2,12,2021-22,,,,,,Dwight_McNeil
12,12,12,12.0,0,,,,0,5,1,,,6.3,,,118,,,137,,0,0,5.0,,18.6,,2021-12-01T19:30:00Z,,,,90,,,20,0,,0,0,,0,14,0,16045,,,,0,0,25.0,3,-160,388,548,58,False,,0,2,3,14,2021-22,,,,,,Dwight_McNeil
13,13,13,13.0,0,,,,0,8,0,,,15.1,,,118,,,145,,1,0,3.0,,10.6,,2021-12-04T15:00:00Z,,,,90,,,14,0,,0,0,,0,15,0,16643,,,,0,1,4.0,2,475,1319,844,58,False,,0,2,3,15,2021-22,,,,,,Dwight_McNeil
14,14,14,14.0,0,,,,0,10,1,,,26.5,,,118,,,154,,0,0,4.0,,12.2,,2021-12-12T14:00:00Z,,,,87,,,19,0,,0,0,,0,16,0,16078,,,,0,0,1.0,3,-678,693,1371,58,True,,0,2,3,16,2021-22,,,,,,Dwight_McNeil
15,15,15,15.0,0,,,,0,10,0,,,2.3,,,118,,,198,,3,0,2.6,,5.8,,2021-12-30T20:15:00Z,,,,83,,,13,0,,0,0,,0,20,0,15928,,,,1,3,18.0,2,-40,306,346,57,False,,0,2,4,20,2021-22,,,,,,Dwight_McNeil
16,16,16,16.0,0,,,,0,5,0,,,12.3,,,118,,,206,,3,0,2.0,,7.4,,2022-01-02T14:00:00Z,,,,90,,,10,0,,0,0,,0,21,0,16198,,,,1,3,0.0,2,68,922,854,57,False,,0,2,2,21,2021-22,,,,,,Dwight_McNeil
17,17,17,17.0,0,,,,0,8,1,,,24.6,,,118,,,221,,0,0,5.9,,12.0,,2022-01-23T14:00:00Z,,,,90,,,1,0,,0,0,,0,23,0,18061,,,,0,0,22.0,3,1782,2740,958,57,False,,0,2,4,23,2021-22,,,,,,Dwight_McNeil
18,18,18,18.0,0,,,,0,14,1,,,15.4,,,118,,,164,,0,0,2.9,,12.6,,2022-02-05T18:00:00Z,,,,90,,,18,0,,0,0,,0,23,0,18061,,,,0,0,1.0,3,1782,2740,958,57,True,,0,2,2,23,2021-22,,,,,,Dwight_McNeil
19,19,19,19.0,0,,,,0,11,0,,,24.8,,,118,,,233,,1,0,5.4,,22.2,,2022-02-08T20:00:00Z,,,,90,,,13,0,,0,0,,0,24,0,17593,,,,1,1,7.0,2,-342,1002,1344,57,True,,0,2,3,24,2021-22,,,,,,Dwight_McNeil
